Entity,Year,unemployment,budget,nominal_interest,real_interest,oil_price,cpi
United States,1960,5.5,,3.22,1.762024014,5,1.457975986
United States,1961,6.7,,1.96,0.888148774,4.945947476,1.071851226
United States,1962,5.6,,2.71,1.512355145,4.885664766,1.197644855
United States,1963,5.6,,3.18,1.940330579,4.831370598,1.239669421
United States,1964,5.2,-1,3.5,2.22,4.718183285,1.28
United States,1965,4.5,-0.7,4.07,2.486997131,4.594324709,1.583002869
United States,1966,3.8,-2,5.11,2.094892726,4.494645561,3.015107274
United States,1967,3.8,-2.6,4.22,1.447185902,4.501495368,2.772814098
United States,1968,3.6,-4.2,5.66,1.388161161,4.379503316,4.271838839
United States,1969,3.5,-1.1,8.2,2.737561452,4.479592073,5.462438548
United States,1970,5,-0.9,7.18,1.340782924,4.327188718,5.839217076
United States,1971,6,-1.7,4.66,0.366374759,4.375284451,4.293625241
United States,1972,5.6,-1.8,4.43,1.157748691,4.194302237,3.272251309
United States,1973,4.9,-2,8.73,2.553086305,4.327076921,6.176913695
United States,1974,5.6,-1.1,10.5,-0.554054054,10.63119004,11.05405405
United States,1975,8.5,-2,5.82,-3.32456072,10.47286568,9.14456072
United States,1976,7.7,-2.7,5.05,-0.693538287,11.24726435,5.743538287
United States,1977,7.1,-1.9,5.54,-0.961722078,11.97440437,6.501722078
United States,1978,6.1,-2.6,7.93,0.298994192,11.62498337,7.631005808
United States,1979,5.9,-1.9,11.19,-0.065039627,16.19534691,11.25503963
